,pearsonr,f_regression,rfr,rfe,rg,rf
128,-0.003155143700284786,0.004957605373806238,0.004,310.0,-0.012902972758984287,0.0
129,0.07049087589098621,2.4869011862024215,0.012,807.0,0.007192598832606563,5.89378889566509e-06
130,0.06702127088248622,2.247035019790944,0.056,510.0,0.011965579991060293,0.002133587501239941
131,0.11818948183192819,7.054988699523797,-0.07,608.0,0.0024688783230574253,0.0
132,0.2698759798811684,39.12009153785546,0.013,170.0,0.01917107482653544,1.2853776210675722e-05
133,0.09217986809604532,4.267834118072637,-0.03,639.0,-0.010684681227392284,0.0015080818290095694
134,0.20543951523917817,21.944461056262288,-0.035,1367.0,-0.002003079089243482,4.1501654889767864e-05
135,0.1420845720023334,10.260781672431218,-0.062,6519.0,0.007999159552505318,9.823036491617148e-07
136,0.17660277673886537,16.031905017400547,-0.025,5861.0,0.0048360521172152796,0.0015689361810736682
137,0.22480334446759542,26.506758724750476,0.043,2720.0,-0.0031317356800359426,7.892277022847006e-05
138,-0.04602043913012615,1.0569431268030436,0.028,1231.0,-0.003866937849785694,0.0
139,-0.0830178611982798,3.45601746075199,0.028,4154.0,-0.006635852286303617,0.00046810464416797434
140,-0.04615566357587328,1.0631768833597395,0.083,1968.0,-0.004374257086102666,0.0011881604817612476
141,-0.09126411886456938,4.182750126121749,0.103,6778.0,-0.0038193562495967698,5.84129813779138e-05
142,-0.0038833994908039,0.007510347481361868,-0.002,342.0,-0.012020916957993125,4.100418257391083e-08
143,-0.002321226005794849,0.002683283362421324,-0.025,1752.0,-0.011509018520767716,0.0009034185323046442
144,0.09439250893694154,4.477043192151455,-0.044,5025.0,-0.0061821796503723075,1.4118518611775959e-06
145,0.12727608201201704,8.20003615842692,-0.037,559.0,-0.017873725920451614,7.382643550343581e-05
146,-0.1512295224859668,11.656020993760984,-0.001,652.0,-0.009879695528897,0.0014667083438800789
147,-0.10104589688929642,5.137167981491675,0.038,364.0,-0.008361644637690789,0.0
148,-0.028719833697846475,0.41110385644087255,0.074,3351.0,-0.005694100118839845,0.0
149,-0.1456765524629555,10.797527079114943,-0.033,260.0,0.012154071072412058,0.0
150,0.21168237085916905,23.3619288386224,0.048,940.0,0.008339151353062627,0.0
151,-0.17651443912799528,16.015354889033876,0.015,4252.0,-0.004147690294271994,0.0001178817677118488
152,-0.0053645745293944185,0.01433218508202868,-0.029,180.0,-0.008049387171316326,0.00019398374099812186
