学校,学院,url
北京航空航天大学,机械工程及自动化学院,http://www.me.buaa.edu.cn/szll/qtjg/index.htm
中国农业大学,工学院,http://coe.cau.edu.cn/col/col28301/index.html
中国农业大学,工学院,http://coe.cau.edu.cn/col/col28302/index.html
中国农业大学,工学院,http://coe.cau.edu.cn/col/col28303/index.html
中国农业大学,工学院,http://coe.cau.edu.cn/col/col28304/index.html
中国农业大学,工学院,http://coe.cau.edu.cn/col/col28305/index.html
北京科技大学,机械工程学院,http://me.ustb.edu.cn/shiziduiwu/xingmingjiansuo/
北京建筑大学,机电与车辆工程学院,http://jdxy.bucea.edu.cn/szdw/js/index.htm
北京建筑大学,机电与车辆工程学院,http://jdxy.bucea.edu.cn/szdw/fjs/index.htm
北京建筑大学,机电与车辆工程学院,http://jdxy.bucea.edu.cn/szdw/jsy/index.htm
北京信息科技大学,机电工程学院,http://jdgcxy.bistu.edu.cn/szdw/yjsds/
北京信息科技大学,机电工程学院,http://jdgcxy.bistu.edu.cn/szdw/js/
清华大学,机械工程学院,http://www.me.tsinghua.edu.cn/publish/jxx/6138/index.html
清华大学,机械工程学院,http://faculty.dpi.tsinghua.edu.cn/index.html
清华大学,机械工程学院,http://www.te.tsinghua.edu.cn/publish/te/2254/index.html
清华大学,机械工程学院,http://www.dae.tsinghua.edu.cn/publish/dae/8592/index.html
清华大学,机械工程学院,http://www.ie.tsinghua.edu.cn/List/index/cid/29.html
北京林业大学,工学院,http://gxy.bjfu.edu.cn/szdw/jiaoshou/index.html
北京林业大学,工学院,http://gxy.bjfu.edu.cn/szdw/fjs/index.html
北京林业大学,工学院,http://gxy.bjfu.edu.cn/szdw/jiangshi/index.html
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=2
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=3
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=4
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=5
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=6
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=7
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=8
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=9
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=10
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=11
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=12
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=13
北京交通大学,机械与电子控制工程学院,http://p.bjtu.edu.cn/szdw/jstd/jslb.htm?mz=&page=14
