院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,研究生院,学信链接,学校链接,isurl,
广西师范学院师园学院,广西,广西壮族自治区教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1883.dhtml,http://www.gxsyu.com,1,
广西中医药大学赛恩斯新医药学院,广西,广西壮族自治区教育厅,医药,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1884.dhtml,http://www.gxzyxysy.com,1,
桂林电子科技大学信息科技学院,广西,广西壮族自治区教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1885.dhtml,http://iit.guet.edu.cn/main/default.asp,1,
桂林理工大学博文管理学院,广西,广西壮族自治区教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1886.dhtml,http://www.bwgl.cn,1,
广西经贸职业技术学院,广西,广西壮族自治区教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2065.dhtml,http://www.gxjmxy.com,1,
广西工商职业技术学院,广西,广西壮族自治区教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2066.dhtml,http://www.gxgsxy.com,1,
广西演艺职业学院,广西,广西壮族自治区教育厅,艺术,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2067.dhtml,http://www.gxart.cn,1,
广西外国语学院,广西,广西壮族自治区教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2068.dhtml,http://www.cndffc.com,1,
广西电力职业技术学院,广西,广西壮族自治区教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2069.dhtml,http://www.gxdlxy.com,1,
北京航空航天大学北海学院,广西,广西壮族自治区教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-391319.dhtml,http://www.bh.buaa.edu.cn,1,
广西城市职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-567572.dhtml,http://www.gxccedu.com,1,
柳州城市职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1376184.dhtml,http://www.lcvc.cn,1,
百色职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5122288.dhtml,http://www.bszyxy.com,1,
广西工程职业学院,广西,广西壮族自治区教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-6155215.dhtml,http://www.gxgcedu.com,1,
