,pearsonr,f_regression,rfr,rfe,rg,rf,mic
256,0.023651843,0.278741943,0.091,5472,-0.00407426,0,0.23460344
257,0.022379884,0.24955288,0.037,5477,-0.004106701,0.000105765,0.23460344
258,0.022379884,0.24955288,0.022,5636,-0.004106701,0.000123507,0.23460344
259,0.022379884,0.24955288,0.065,5580,-0.004106701,0,0.23460344
260,0.022379884,0.24955288,0.074,5532,-0.004106701,1.15E-05,0.23460344
261,0.037915468,0.716946873,0.118,5891,-0.001893402,0.000495766,0.221838119
262,0.022311861,0.24803742,0.108,5586,-0.004106923,0,0.23460344
263,0.037915468,0.716946873,0.079,5672,-0.001893402,9.12E-07,0.221838119
264,0.02791641,0.38840703,-0.021,4145,0.003088073,0,0.142648746
265,0.037915468,0.716946873,0.007,5946,-0.001893402,0,0.221838119
266,0.037915468,0.716946873,0.072,5670,-0.001893402,0.000563593,0.221838119
267,0.02791641,0.38840703,-0.051,3787,0.003088073,0,0.142648746
268,0.01941755,0.187837365,0.029,1346,-0.004217793,1.56E-05,0.220113174
269,0.047188858,1.111415461,0.062,2369,-0.003792095,0.000463606,0.191125631
270,0.049696953,1.232999226,0.085,2096,-0.003788616,9.50E-09,0.186866528
271,0.048987449,1.197960359,0.054,2257,-0.003429365,0.000718794,0.184408614
272,-0.024193614,0.291665536,0.068,5091,-0.001564695,0,0.191151224
273,0.036458401,0.662830113,-0.014,545,-0.005510555,4.44E-05,0.169933117
274,-0.016024566,0.127912637,0.062,3289,-0.002411758,6.76E-06,0.197590405
275,0.045464426,1.031505113,0.028,150,-0.006761794,0,0.184245484
276,0.045464426,1.031505113,0.031,149,-0.006761794,0,0.184245484
277,0.047119665,1.108151261,0.034,1600,-0.004371541,0,0.164857746
278,0.047119665,1.108151261,-0.004,1248,-0.004371541,3.49E-06,0.164857746
279,-0.037346483,0.695560503,-0.051,147,-0.01754036,0.000259895,0.182967065
280,-0.037346483,0.695560503,-0.015,146,-0.01754036,0.000121324,0.182967065
281,-0.016734723,0.139504435,-0.025,4121,-0.001940934,0,0.182927106
282,-0.019257055,0.184743916,0.061,4664,-0.002046992,0.000117277,0.182528498
283,-0.019257055,0.184743916,0.043,4652,-0.002046992,0,0.182528498
284,0.048681332,1.182999852,-0.002,795,-0.005703006,0,0.180695678
285,0.048681332,1.182999852,-0.039,797,-0.005703006,1.19E-05,0.180695678
286,0.050027049,1.249474494,0.02,145,-0.005117905,1.48E-05,0.188666565
287,0.050027049,1.249474494,0.092,144,-0.005117905,0.000268633,0.188666565
288,-0.01592109,0.12626559,-0.012,4471,-0.002040698,0,0.182364736
289,0.000830867,0.00034379,-0.001,536,-0.008908383,0,0.155156516
290,-0.001072761,0.000573108,-0.028,684,-0.009104194,0,0.155156516
291,-0.067145821,2.255432249,-0.053,816,-0.004348898,0,0.148538118
292,-0.052750002,1.389582845,-0.063,490,-0.01855849,0.000539926,0.17089311
293,-0.015672217,0.122348003,-0.05,6668,-0.000284761,0,0.137947314
294,-0.027909296,0.388208927,-0.085,189,0.021959131,0.000390054,0.144325735
295,0.015284818,0.116372764,0.014,4804,0.000688602,4.83E-07,0.183087966
296,0.016522906,0.135994333,0.015,4885,0.000826582,0,0.175842299
297,-0.013507756,0.090881397,0.017,1973,-0.003309623,2.40E-06,0.183376173
298,0.026587245,0.352276052,-0.064,6765,0.000410556,0,0.178068998
299,0.0382576,0.729963106,-0.041,405,0.022740975,0.000371646,0.161571494
300,-0.006114029,0.01861661,-0.068,5058,-0.002445478,2.08E-05,0.151781318
301,-0.028217208,0.396828955,-0.005,5625,-0.008248267,0.000218596,0.172613959
302,0.012052627,0.072352889,0.046,3802,0.001197482,2.56E-07,0.175842299
303,0.051640101,1.33156753,-0.055,195,0.024613406,5.15E-07,0.156749094
304,0.030333536,0.458643476,0.006,2343,-0.003561043,0,0.187922363
305,0.045801218,1.046876389,0.004,4247,-0.001653662,3.83E-05,0.145987042
306,0.047936424,1.146990256,-0.018,3006,-0.004205787,0,0.146801042
307,0.012530317,0.07820268,0.045,6784,-0.000500397,2.28E-05,0.175842299
308,-0.022770081,0.258335282,0.004,4714,-0.001786553,0,0.179361858
309,0.047448878,1.123725161,0.02,5462,-0.000812965,6.83E-06,0.148261611
310,0.042036597,0.881561378,0.017,2841,-0.002971131,3.94E-05,0.146371103
311,0.003538925,0.006237026,0.017,6248,-0.000651248,6.24E-05,0.167383219
312,0.003553224,0.00628753,0.051,6511,-0.000656257,0,0.167383219
313,0.086296614,3.736484607,0.001,2709,-0.003508268,2.48E-07,0.167217788
314,0.04795582,1.147920771,0.046,3475,-0.00199004,0,0.190506385
315,0.086250141,3.732431098,-0.025,2077,-0.003579831,1.91E-07,0.167217788
316,0.086296614,3.736484607,0.015,2423,-0.003508268,0,0.167217788
317,0.04795582,1.147920771,0.04,3670,-0.00199004,0.001533088,0.190506385
318,0.012311128,0.075490255,-0.032,2112,-0.002620266,0,0.14252299
319,0.045559929,1.035852278,-0.001,4747,-0.001789529,1.50E-06,0.156081745
320,0.009456402,0.044536905,-0.035,1230,0.008873313,9.54E-05,0.154019204
321,-0.054742165,1.496844484,-0.065,3541,0.004733602,0.000146856,0.151557391
322,0.052096853,1.355291232,-0.051,885,0.006500226,0,0.154231077
323,0.010661235,0.056610072,-0.042,267,-0.021473292,0,0.191933392
324,0.019784177,0.195000325,-0.04,292,-0.012089912,0.000257147,0.153788018
